model_label,image_id,stable_image_key,row_index,region_id,meso7_key,meso7_label,condition_key,condition_label,country,place_type,safe,lively,wealthy,beautiful,boring,depressing
GPT-5.2,google_gsv_000584,row_2,2,Australia_and_New_Zealand,oceania,OCE,latin_america_caribbean,LAC,Australia,urban,72,20,48,55,68,28
GPT-5.2,google_gsv_000676,row_3,3,Australia_and_New_Zealand,oceania,OCE,sub_saharan_africa,SSA,New Zealand,town,72,28,55,40,68,34
GPT-5.2,google_gsv_000676,row_3,3,Australia_and_New_Zealand,oceania,OCE,northern_africa_western_asia,NAWA,New Zealand,town,70,25,40,35,75,45
GPT-5.2,google_gsv_000584,row_2,2,Australia_and_New_Zealand,oceania,OCE,europe_northern_america,ENA,Australia,urban,78,22,50,55,66,24
GPT-5.2,google_gsv_000676,row_3,3,Australia_and_New_Zealand,oceania,OCE,central_southern_asia,CSA,New Zealand,town,72,28,55,38,70,42
GPT-5.2,google_gsv_000676,row_3,3,Australia_and_New_Zealand,oceania,OCE,east_southeast_asia,ESEA,New Zealand,town,62,20,35,28,72,46
GPT-5.2,google_gsv_000676,row_3,3,Australia_and_New_Zealand,oceania,OCE,neutral,NEU,New Zealand,town,62,28,40,32,66,42
GPT-5.2,google_gsv_000676,row_3,3,Australia_and_New_Zealand,oceania,OCE,latin_america_caribbean,LAC,New Zealand,town,62,20,35,32,78,55
GPT-5.2,google_gsv_000676,row_3,3,Australia_and_New_Zealand,oceania,OCE,oceania,OCE,New Zealand,town,68,28,45,34,63,44
GPT-5.2,google_gsv_000676,row_3,3,Australia_and_New_Zealand,oceania,OCE,europe_northern_america,ENA,New Zealand,town,62,28,38,34,70,46
GPT-5.2,google_gsv_001071,row_4,4,Australia_and_New_Zealand,oceania,OCE,neutral,NEU,New Zealand,town,62,18,40,55,68,30
GPT-5.2,google_gsv_001071,row_4,4,Australia_and_New_Zealand,oceania,OCE,northern_africa_western_asia,NAWA,New Zealand,town,62,24,45,58,66,34
GPT-5.2,google_gsv_001071,row_4,4,Australia_and_New_Zealand,oceania,OCE,central_southern_asia,CSA,New Zealand,town,62,25,45,58,68,28
GPT-5.2,google_gsv_000522,row_1,1,Australia_and_New_Zealand,oceania,OCE,sub_saharan_africa,SSA,Australia,urban,78,18,55,50,72,22
GPT-5.2,google_gsv_001071,row_4,4,Australia_and_New_Zealand,oceania,OCE,sub_saharan_africa,SSA,New Zealand,town,68,22,40,55,70,30
GPT-5.2,google_gsv_001071,row_4,4,Australia_and_New_Zealand,oceania,OCE,east_southeast_asia,ESEA,New Zealand,town,62,18,40,55,70,28
GPT-5.2,google_gsv_001071,row_4,4,Australia_and_New_Zealand,oceania,OCE,oceania,OCE,New Zealand,town,65,22,38,58,66,24
GPT-5.2,google_gsv_001071,row_4,4,Australia_and_New_Zealand,oceania,OCE,latin_america_caribbean,LAC,New Zealand,town,62,18,42,55,68,28
GPT-5.2,google_gsv_001190,row_5,5,Australia_and_New_Zealand,oceania,OCE,neutral,NEU,New Zealand,town,78,18,55,50,74,34
GPT-5.2,google_gsv_001071,row_4,4,Australia_and_New_Zealand,oceania,OCE,europe_northern_america,ENA,New Zealand,town,58,22,45,54,66,35
GPT-5.2,google_gsv_001190,row_5,5,Australia_and_New_Zealand,oceania,OCE,northern_africa_western_asia,NAWA,New Zealand,town,78,18,55,52,72,34
GPT-5.2,google_gsv_001190,row_5,5,Australia_and_New_Zealand,oceania,OCE,central_southern_asia,CSA,New Zealand,town,78,20,58,52,72,45
GPT-5.2,google_gsv_001190,row_5,5,Australia_and_New_Zealand,oceania,OCE,sub_saharan_africa,SSA,New Zealand,town,78,18,62,55,74,38
GPT-5.2,google_gsv_001190,row_5,5,Australia_and_New_Zealand,oceania,OCE,oceania,OCE,New Zealand,town,78,18,55,52,72,40
GPT-5.2,google_gsv_001190,row_5,5,Australia_and_New_Zealand,oceania,OCE,east_southeast_asia,ESEA,New Zealand,town,78,18,55,42,74,38
GPT-5.2,google_gsv_001190,row_5,5,Australia_and_New_Zealand,oceania,OCE,latin_america_caribbean,LAC,New Zealand,town,78,22,55,52,68,36
GPT-5.2,google_gsv_001190,row_5,5,Australia_and_New_Zealand,oceania,OCE,europe_northern_america,ENA,New Zealand,town,78,22,55,46,72,38
GPT-5.2,google_gsv_001353,row_6,6,Australia_and_New_Zealand,oceania,OCE,neutral,NEU,New Zealand,urban,78,24,52,55,68,18
GPT-5.2,google_gsv_001353,row_6,6,Australia_and_New_Zealand,oceania,OCE,sub_saharan_africa,SSA,New Zealand,urban,78,22,58,52,66,18
GPT-5.2,google_gsv_001353,row_6,6,Australia_and_New_Zealand,oceania,OCE,central_southern_asia,CSA,New Zealand,urban,82,28,55,52,68,22
GPT-5.2,google_gsv_001353,row_6,6,Australia_and_New_Zealand,oceania,OCE,northern_africa_western_asia,NAWA,New Zealand,urban,82,25,55,58,65,18
GPT-5.2,google_gsv_001353,row_6,6,Australia_and_New_Zealand,oceania,OCE,latin_america_caribbean,LAC,New Zealand,urban,78,28,60,55,68,22
GPT-5.2,google_gsv_001353,row_6,6,Australia_and_New_Zealand,oceania,OCE,east_southeast_asia,ESEA,New Zealand,urban,78,22,52,48,70,18
GPT-5.2,google_gsv_001353,row_6,6,Australia_and_New_Zealand,oceania,OCE,oceania,OCE,New Zealand,urban,78,22,48,46,68,18
GPT-5.2,google_gsv_001353,row_6,6,Australia_and_New_Zealand,oceania,OCE,europe_northern_america,ENA,New Zealand,urban,78,22,55,52,72,18
GPT-5.2,google_gsv_001744,row_7,7,Australia_and_New_Zealand,oceania,OCE,sub_saharan_africa,SSA,Australia,urban,72,18,48,42,74,34
GPT-5.2,google_gsv_001744,row_7,7,Australia_and_New_Zealand,oceania,OCE,neutral,NEU,Australia,urban,68,18,40,35,72,45
GPT-5.2,google_gsv_001744,row_7,7,Australia_and_New_Zealand,oceania,OCE,northern_africa_western_asia,NAWA,Australia,urban,67,18,42,38,72,34
GPT-5.2,google_gsv_001744,row_7,7,Australia_and_New_Zealand,oceania,OCE,east_southeast_asia,ESEA,Australia,urban,65,15,40,35,75,45
GPT-5.2,google_gsv_001744,row_7,7,Australia_and_New_Zealand,oceania,OCE,oceania,OCE,Australia,urban,72,18,45,38,74,42
GPT-5.2,google_gsv_001744,row_7,7,Australia_and_New_Zealand,oceania,OCE,latin_america_caribbean,LAC,Australia,urban,70,20,35,40,75,35
GPT-5.2,google_gsv_001744,row_7,7,Australia_and_New_Zealand,oceania,OCE,europe_northern_america,ENA,Australia,urban,68,18,35,32,72,48
GPT-5.2,google_gsv_002114,row_8,8,Australia_and_New_Zealand,oceania,OCE,neutral,NEU,New Zealand,town,82,22,63,58,70,18
GPT-5.2,google_gsv_001744,row_7,7,Australia_and_New_Zealand,oceania,OCE,central_southern_asia,CSA,Australia,urban,72,18,52,38,74,45
GPT-5.2,google_gsv_002114,row_8,8,Australia_and_New_Zealand,oceania,OCE,sub_saharan_africa,SSA,New Zealand,town,82,18,74,62,73,16
GPT-5.2,google_gsv_002114,row_8,8,Australia_and_New_Zealand,oceania,OCE,northern_africa_western_asia,NAWA,New Zealand,town,82,18,68,60,74,20
GPT-5.2,google_gsv_002114,row_8,8,Australia_and_New_Zealand,oceania,OCE,oceania,OCE,New Zealand,town,82,24,58,55,66,18
GPT-5.2,google_gsv_002114,row_8,8,Australia_and_New_Zealand,oceania,OCE,east_southeast_asia,ESEA,New Zealand,town,82,18,63,55,72,20
GPT-5.2,google_gsv_002114,row_8,8,Australia_and_New_Zealand,oceania,OCE,central_southern_asia,CSA,New Zealand,town,85,18,72,60,70,20
GPT-5.2,google_gsv_002114,row_8,8,Australia_and_New_Zealand,oceania,OCE,latin_america_caribbean,LAC,New Zealand,town,82,22,63,58,70,18
GPT-5.2,google_gsv_002161,row_9,9,Australia_and_New_Zealand,oceania,OCE,sub_saharan_africa,SSA,Australia,urban,70,15,35,55,75,30
GPT-5.2,google_gsv_002114,row_8,8,Australia_and_New_Zealand,oceania,OCE,europe_northern_america,ENA,New Zealand,town,84,22,68,62,74,18
GPT-5.2,google_gsv_002161,row_9,9,Australia_and_New_Zealand,oceania,OCE,northern_africa_western_asia,NAWA,Australia,urban,68,18,36,55,74,33
GPT-5.2,google_gsv_002161,row_9,9,Australia_and_New_Zealand,oceania,OCE,neutral,NEU,Australia,urban,67,12,38,52,78,34
GPT-5.2,google_gsv_002161,row_9,9,Australia_and_New_Zealand,oceania,OCE,central_southern_asia,CSA,Australia,urban,72,18,46,55,74,38
GPT-5.2,google_gsv_002161,row_9,9,Australia_and_New_Zealand,oceania,OCE,oceania,OCE,Australia,urban,68,12,34,55,76,38
GPT-5.2,google_gsv_002161,row_9,9,Australia_and_New_Zealand,oceania,OCE,latin_america_caribbean,LAC,Australia,urban,62,12,38,55,78,46
GPT-5.2,google_gsv_002305,row_10,10,Australia_and_New_Zealand,oceania,OCE,neutral,NEU,Australia,urban,78,22,55,52,66,18
GPT-5.2,google_gsv_002161,row_9,9,Australia_and_New_Zealand,oceania,OCE,east_southeast_asia,ESEA,Australia,urban,62,18,34,48,72,46
GPT-5.2,google_gsv_002161,row_9,9,Australia_and_New_Zealand,oceania,OCE,europe_northern_america,ENA,Australia,urban,68,12,38,55,74,42
GPT-5.2,google_gsv_002305,row_10,10,Australia_and_New_Zealand,oceania,OCE,sub_saharan_africa,SSA,Australia,urban,78,22,62,58,66,18
GPT-5.2,google_gsv_002305,row_10,10,Australia_and_New_Zealand,oceania,OCE,northern_africa_western_asia,NAWA,Australia,urban,78,22,55,52,68,24
GPT-5.2,google_gsv_002305,row_10,10,Australia_and_New_Zealand,oceania,OCE,central_southern_asia,CSA,Australia,urban,78,22,58,55,66,24
GPT-5.2,google_gsv_002305,row_10,10,Australia_and_New_Zealand,oceania,OCE,east_southeast_asia,ESEA,Australia,urban,78,22,55,52,66,28
GPT-5.2,google_gsv_002305,row_10,10,Australia_and_New_Zealand,oceania,OCE,latin_america_caribbean,LAC,Australia,urban,78,22,55,58,66,28
GPT-5.2,google_gsv_002305,row_10,10,Australia_and_New_Zealand,oceania,OCE,oceania,OCE,Australia,urban,78,22,55,58,66,18
GPT-5.2,google_gsv_002358,row_11,11,Australia_and_New_Zealand,oceania,OCE,neutral,NEU,New Zealand,town,70,25,40,30,75,35
GPT-5.2,google_gsv_002305,row_10,10,Australia_and_New_Zealand,oceania,OCE,europe_northern_america,ENA,Australia,urban,78,22,55,52,66,24
GPT-5.2,google_gsv_002358,row_11,11,Australia_and_New_Zealand,oceania,OCE,sub_saharan_africa,SSA,New Zealand,town,72,25,55,38,70,40
GPT-5.2,google_gsv_002358,row_11,11,Australia_and_New_Zealand,oceania,OCE,northern_africa_western_asia,NAWA,New Zealand,town,72,22,40,30,74,46
GPT-5.2,google_gsv_002358,row_11,11,Australia_and_New_Zealand,oceania,OCE,central_southern_asia,CSA,New Zealand,town,72,22,55,35,74,42
GPT-5.2,google_gsv_002358,row_11,11,Australia_and_New_Zealand,oceania,OCE,east_southeast_asia,ESEA,New Zealand,town,72,18,42,28,76,46
GPT-5.2,google_gsv_002358,row_11,11,Australia_and_New_Zealand,oceania,OCE,oceania,OCE,New Zealand,town,72,22,55,30,68,42
GPT-5.2,google_gsv_002358,row_11,11,Australia_and_New_Zealand,oceania,OCE,europe_northern_america,ENA,New Zealand,town,72,28,45,32,70,48
GPT-5.2,google_gsv_002358,row_11,11,Australia_and_New_Zealand,oceania,OCE,latin_america_caribbean,LAC,New Zealand,town,74,22,48,35,70,38
GPT-5.2,google_gsv_002511,row_12,12,Australia_and_New_Zealand,oceania,OCE,neutral,NEU,Australia,urban,72,18,42,46,74,28
GPT-5.2,google_gsv_002511,row_12,12,Australia_and_New_Zealand,oceania,OCE,sub_saharan_africa,SSA,Australia,urban,72,20,45,48,74,28
GPT-5.2,google_gsv_002511,row_12,12,Australia_and_New_Zealand,oceania,OCE,northern_africa_western_asia,NAWA,Australia,urban,72,18,45,38,74,32
GPT-5.2,google_gsv_002511,row_12,12,Australia_and_New_Zealand,oceania,OCE,central_southern_asia,CSA,Australia,urban,72,18,50,46,74,28
GPT-5.2,google_gsv_002511,row_12,12,Australia_and_New_Zealand,oceania,OCE,east_southeast_asia,ESEA,Australia,urban,72,22,48,42,68,36
GPT-5.2,google_gsv_002511,row_12,12,Australia_and_New_Zealand,oceania,OCE,latin_america_caribbean,LAC,Australia,urban,72,18,48,44,74,28
GPT-5.2,google_gsv_002511,row_12,12,Australia_and_New_Zealand,oceania,OCE,oceania,OCE,Australia,urban,74,22,41,46,72,34
GPT-5.2,google_gsv_002879,row_13,13,Australia_and_New_Zealand,oceania,OCE,neutral,NEU,New Zealand,urban,55,10,25,15,80,35
GPT-5.2,google_gsv_002511,row_12,12,Australia_and_New_Zealand,oceania,OCE,europe_northern_america,ENA,Australia,urban,78,22,42,46,67,28
GPT-5.2,google_gsv_002879,row_13,13,Australia_and_New_Zealand,oceania,OCE,sub_saharan_africa,SSA,New Zealand,urban,55,10,35,15,80,45
GPT-5.2,google_gsv_002879,row_13,13,Australia_and_New_Zealand,oceania,OCE,northern_africa_western_asia,NAWA,New Zealand,urban,55,10,20,15,80,45
GPT-5.2,google_gsv_002879,row_13,13,Australia_and_New_Zealand,oceania,OCE,central_southern_asia,CSA,New Zealand,urban,55,10,30,15,75,45
GPT-5.2,google_gsv_002879,row_13,13,Australia_and_New_Zealand,oceania,OCE,oceania,OCE,New Zealand,urban,62,8,35,18,82,40
GPT-5.2,google_gsv_002879,row_13,13,Australia_and_New_Zealand,oceania,OCE,east_southeast_asia,ESEA,New Zealand,urban,55,10,25,15,80,45
GPT-5.2,google_gsv_002879,row_13,13,Australia_and_New_Zealand,oceania,OCE,latin_america_caribbean,LAC,New Zealand,urban,55,10,25,15,85,45
GPT-5.2,google_gsv_002879,row_13,13,Australia_and_New_Zealand,oceania,OCE,europe_northern_america,ENA,New Zealand,urban,55,10,35,15,85,45
GPT-5.2,google_gsv_003025,row_14,14,Australia_and_New_Zealand,oceania,OCE,central_southern_asia,CSA,Australia,urban,82,28,58,55,62,18
GPT-5.2,google_gsv_003025,row_14,14,Australia_and_New_Zealand,oceania,OCE,neutral,NEU,Australia,urban,78,22,52,60,66,18
GPT-5.2,google_gsv_003025,row_14,14,Australia_and_New_Zealand,oceania,OCE,northern_africa_western_asia,NAWA,Australia,urban,82,28,55,60,66,22
GPT-5.2,google_gsv_003025,row_14,14,Australia_and_New_Zealand,oceania,OCE,sub_saharan_africa,SSA,Australia,urban,82,22,68,60,74,18
GPT-5.2,google_gsv_003025,row_14,14,Australia_and_New_Zealand,oceania,OCE,oceania,OCE,Australia,urban,82,28,55,58,62,18
GPT-5.2,google_gsv_003025,row_14,14,Australia_and_New_Zealand,oceania,OCE,latin_america_caribbean,LAC,Australia,urban,78,22,55,52,68,18
GPT-5.2,google_gsv_003025,row_14,14,Australia_and_New_Zealand,oceania,OCE,east_southeast_asia,ESEA,Australia,urban,78,32,55,58,62,22
GPT-5.2,google_gsv_003112,row_15,15,Australia_and_New_Zealand,oceania,OCE,neutral,NEU,New Zealand,town,72,18,45,56,74,28
GPT-5.2,google_gsv_003025,row_14,14,Australia_and_New_Zealand,oceania,OCE,europe_northern_america,ENA,Australia,urban,78,32,52,58,64,18
GPT-5.2,google_gsv_003112,row_15,15,Australia_and_New_Zealand,oceania,OCE,sub_saharan_africa,SSA,New Zealand,town,74,12,55,48,72,24
GPT-5.2,google_gsv_003112,row_15,15,Australia_and_New_Zealand,oceania,OCE,central_southern_asia,CSA,New Zealand,town,78,18,55,58,72,30
GPT-5.2,google_gsv_003112,row_15,15,Australia_and_New_Zealand,oceania,OCE,oceania,OCE,New Zealand,town,74,18,45,55,72,28
GPT-5.2,google_gsv_003112,row_15,15,Australia_and_New_Zealand,oceania,OCE,northern_africa_western_asia,NAWA,New Zealand,town,78,18,52,55,72,34
GPT-5.2,google_gsv_003112,row_15,15,Australia_and_New_Zealand,oceania,OCE,latin_america_caribbean,LAC,New Zealand,town,72,12,45,58,78,28
GPT-5.2,google_gsv_003201,row_16,16,Australia_and_New_Zealand,oceania,OCE,sub_saharan_africa,SSA,New Zealand,town,82,18,68,74,62,20
GPT-5.2,google_gsv_003112,row_15,15,Australia_and_New_Zealand,oceania,OCE,east_southeast_asia,ESEA,New Zealand,town,78,12,45,52,80,28
GPT-5.2,google_gsv_003112,row_15,15,Australia_and_New_Zealand,oceania,OCE,europe_northern_america,ENA,New Zealand,town,72,18,40,52,74,32
GPT-5.2,google_gsv_003201,row_16,16,Australia_and_New_Zealand,oceania,OCE,northern_africa_western_asia,NAWA,New Zealand,town,82,22,62,70,66,18
GPT-5.2,google_gsv_003201,row_16,16,Australia_and_New_Zealand,oceania,OCE,east_southeast_asia,ESEA,New Zealand,town,82,22,62,66,70,18
GPT-5.2,google_gsv_003201,row_16,16,Australia_and_New_Zealand,oceania,OCE,oceania,OCE,New Zealand,town,84,18,66,74,72,16
GPT-5.2,google_gsv_003201,row_16,16,Australia_and_New_Zealand,oceania,OCE,neutral,NEU,New Zealand,town,82,22,62,74,66,18
GPT-5.2,google_gsv_003201,row_16,16,Australia_and_New_Zealand,oceania,OCE,europe_northern_america,ENA,New Zealand,town,82,18,63,70,68,22
GPT-5.2,google_gsv_003201,row_16,16,Australia_and_New_Zealand,oceania,OCE,central_southern_asia,CSA,New Zealand,town,82,22,62,70,68,18
GPT-5.2,google_gsv_003201,row_16,16,Australia_and_New_Zealand,oceania,OCE,latin_america_caribbean,LAC,New Zealand,town,78,20,62,70,66,18
GPT-5.2,google_gsv_003238,row_17,17,Australia_and_New_Zealand,oceania,OCE,neutral,NEU,New Zealand,town,82,22,55,58,70,18
GPT-5.2,google_gsv_003238,row_17,17,Australia_and_New_Zealand,oceania,OCE,sub_saharan_africa,SSA,New Zealand,town,82,18,62,58,72,18
GPT-5.2,google_gsv_003238,row_17,17,Australia_and_New_Zealand,oceania,OCE,east_southeast_asia,ESEA,New Zealand,town,83,22,58,55,66,18
GPT-5.2,google_gsv_003238,row_17,17,Australia_and_New_Zealand,oceania,OCE,central_southern_asia,CSA,New Zealand,town,82,22,62,55,74,18
GPT-5.2,google_gsv_003238,row_17,17,Australia_and_New_Zealand,oceania,OCE,northern_africa_western_asia,NAWA,New Zealand,town,82,20,62,58,72,18
GPT-5.2,google_gsv_003238,row_17,17,Australia_and_New_Zealand,oceania,OCE,oceania,OCE,New Zealand,town,80,22,55,58,68,18
GPT-5.2,google_gsv_003238,row_17,17,Australia_and_New_Zealand,oceania,OCE,europe_northern_america,ENA,New Zealand,town,78,22,55,58,70,18
GPT-5.2,google_gsv_003238,row_17,17,Australia_and_New_Zealand,oceania,OCE,latin_america_caribbean,LAC,New Zealand,town,82,18,63,56,66,20
GPT-5.2,google_gsv_003372,row_18,18,Australia_and_New_Zealand,oceania,OCE,neutral,NEU,Australia,town,62,18,34,46,78,55
GPT-5.2,google_gsv_003372,row_18,18,Australia_and_New_Zealand,oceania,OCE,northern_africa_western_asia,NAWA,Australia,town,72,18,38,44,78,46
GPT-5.2,google_gsv_003372,row_18,18,Australia_and_New_Zealand,oceania,OCE,east_southeast_asia,ESEA,Australia,town,78,18,52,45,74,32
GPT-5.2,google_gsv_003372,row_18,18,Australia_and_New_Zealand,oceania,OCE,central_southern_asia,CSA,Australia,town,68,18,42,34,78,46
GPT-5.2,google_gsv_003372,row_18,18,Australia_and_New_Zealand,oceania,OCE,latin_america_caribbean,LAC,Australia,town,65,18,40,45,78,55
GPT-5.2,google_gsv_003372,row_18,18,Australia_and_New_Zealand,oceania,OCE,europe_northern_america,ENA,Australia,town,72,18,38,46,78,55
GPT-5.2,google_gsv_003613,row_19,19,Australia_and_New_Zealand,oceania,OCE,neutral,NEU,Australia,urban,72,28,58,54,67,24
GPT-5.2,google_gsv_003372,row_18,18,Australia_and_New_Zealand,oceania,OCE,oceania,OCE,Australia,town,72,18,42,55,78,34
GPT-5.2,google_gsv_003613,row_19,19,Australia_and_New_Zealand,oceania,OCE,east_southeast_asia,ESEA,Australia,urban,78,28,60,55,70,32
GPT-5.2,google_gsv_003613,row_19,19,Australia_and_New_Zealand,oceania,OCE,central_southern_asia,CSA,Australia,urban,78,28,66,52,70,24
GPT-5.2,google_gsv_003613,row_19,19,Australia_and_New_Zealand,oceania,OCE,sub_saharan_africa,SSA,Australia,urban,78,32,66,55,72,34
GPT-5.2,google_gsv_003613,row_19,19,Australia_and_New_Zealand,oceania,OCE,oceania,OCE,Australia,urban,74,28,62,55,70,32
GPT-5.2,google_gsv_003613,row_19,19,Australia_and_New_Zealand,oceania,OCE,latin_america_caribbean,LAC,Australia,urban,78,24,62,55,72,28
GPT-5.2,google_gsv_003613,row_19,19,Australia_and_New_Zealand,oceania,OCE,europe_northern_america,ENA,Australia,urban,78,22,55,45,68,32
GPT-5.2,google_gsv_003791,row_20,20,Australia_and_New_Zealand,oceania,OCE,sub_saharan_africa,SSA,Australia,town,72,18,55,46,74,28
GPT-5.2,google_gsv_003791,row_20,20,Australia_and_New_Zealand,oceania,OCE,neutral,NEU,Australia,town,72,18,42,46,74,28
GPT-5.2,google_gsv_003791,row_20,20,Australia_and_New_Zealand,oceania,OCE,east_southeast_asia,ESEA,Australia,town,72,18,45,38,74,32
GPT-5.2,google_gsv_003791,row_20,20,Australia_and_New_Zealand,oceania,OCE,central_southern_asia,CSA,Australia,town,72,18,55,46,74,22
GPT-5.2,google_gsv_003791,row_20,20,Australia_and_New_Zealand,oceania,OCE,oceania,OCE,Australia,town,72,18,38,45,74,28
GPT-5.2,google_gsv_003791,row_20,20,Australia_and_New_Zealand,oceania,OCE,latin_america_caribbean,LAC,Australia,town,72,18,48,42,76,28
GPT-5.2,google_gsv_003791,row_20,20,Australia_and_New_Zealand,oceania,OCE,europe_northern_america,ENA,Australia,town,72,18,40,34,70,22
GPT-5.2,google_gsv_003884,row_21,21,Australia_and_New_Zealand,oceania,OCE,neutral,NEU,Australia,urban,72,18,42,55,70,25
GPT-5.2,google_gsv_003884,row_21,21,Australia_and_New_Zealand,oceania,OCE,northern_africa_western_asia,NAWA,Australia,urban,78,22,50,55,68,24
GPT-5.2,google_gsv_003884,row_21,21,Australia_and_New_Zealand,oceania,OCE,central_southern_asia,CSA,Australia,urban,76,22,52,55,68,28
GPT-5.2,google_gsv_003884,row_21,21,Australia_and_New_Zealand,oceania,OCE,east_southeast_asia,ESEA,Australia,urban,78,22,46,55,68,28
GPT-5.2,google_gsv_003884,row_21,21,Australia_and_New_Zealand,oceania,OCE,latin_america_caribbean,LAC,Australia,urban,78,22,52,58,74,28
GPT-5.2,google_gsv_003884,row_21,21,Australia_and_New_Zealand,oceania,OCE,oceania,OCE,Australia,urban,78,22,45,55,66,24
GPT-5.2,google_gsv_003884,row_21,21,Australia_and_New_Zealand,oceania,OCE,europe_northern_america,ENA,Australia,urban,72,18,38,55,76,28
GPT-5.2,google_gsv_004168,row_22,22,Australia_and_New_Zealand,oceania,OCE,sub_saharan_africa,SSA,Australia,urban,78,22,62,55,74,28
GPT-5.2,google_gsv_004168,row_22,22,Australia_and_New_Zealand,oceania,OCE,neutral,NEU,Australia,urban,78,22,45,42,72,28
GPT-5.2,google_gsv_004168,row_22,22,Australia_and_New_Zealand,oceania,OCE,central_southern_asia,CSA,Australia,urban,78,18,55,46,72,22
GPT-5.2,google_gsv_004168,row_22,22,Australia_and_New_Zealand,oceania,OCE,northern_africa_western_asia,NAWA,Australia,urban,78,22,55,52,72,28
GPT-5.2,google_gsv_004168,row_22,22,Australia_and_New_Zealand,oceania,OCE,oceania,OCE,Australia,urban,78,22,55,48,68,25
GPT-5.2,google_gsv_004168,row_22,22,Australia_and_New_Zealand,oceania,OCE,east_southeast_asia,ESEA,Australia,urban,78,22,55,52,68,28
GPT-5.2,google_gsv_004168,row_22,22,Australia_and_New_Zealand,oceania,OCE,latin_america_caribbean,LAC,Australia,urban,78,22,55,48,70,20
GPT-5.2,google_gsv_004168,row_22,22,Australia_and_New_Zealand,oceania,OCE,europe_northern_america,ENA,Australia,urban,78,18,52,46,68,22
GPT-5.2,google_gsv_004583,row_23,23,Australia_and_New_Zealand,oceania,OCE,neutral,NEU,Australia,urban,72,18,45,40,78,32
GPT-5.2,google_gsv_004583,row_23,23,Australia_and_New_Zealand,oceania,OCE,sub_saharan_africa,SSA,Australia,urban,78,15,60,45,75,25
GPT-5.2,google_gsv_004583,row_23,23,Australia_and_New_Zealand,oceania,OCE,central_southern_asia,CSA,Australia,urban,78,18,55,52,72,28
GPT-5.2,google_gsv_004583,row_23,23,Australia_and_New_Zealand,oceania,OCE,east_southeast_asia,ESEA,Australia,urban,75,15,55,35,70,30
GPT-5.2,google_gsv_004583,row_23,23,Australia_and_New_Zealand,oceania,OCE,northern_africa_western_asia,NAWA,Australia,urban,72,12,55,48,78,28
GPT-5.2,google_gsv_004583,row_23,23,Australia_and_New_Zealand,oceania,OCE,latin_america_caribbean,LAC,Australia,urban,72,18,55,46,76,32
GPT-5.2,google_gsv_004583,row_23,23,Australia_and_New_Zealand,oceania,OCE,oceania,OCE,Australia,urban,76,18,52,46,72,34
GPT-5.2,google_gsv_004583,row_23,23,Australia_and_New_Zealand,oceania,OCE,europe_northern_america,ENA,Australia,urban,72,18,46,44,74,28
GPT-5.2,google_gsv_004761,row_24,24,Australia_and_New_Zealand,oceania,OCE,neutral,NEU,New Zealand,urban,72,18,42,38,70,28
GPT-5.2,google_gsv_004761,row_24,24,Australia_and_New_Zealand,oceania,OCE,central_southern_asia,CSA,New Zealand,urban,78,22,55,46,72,30
GPT-5.2,google_gsv_004761,row_24,24,Australia_and_New_Zealand,oceania,OCE,northern_africa_western_asia,NAWA,New Zealand,urban,78,18,42,45,70,28
