model_label,image_id,condition_key,snippet
GPT-5.2,google_gsv_008907,east_southeast_asia,"{""safe"":42,""lively"":28,""wealth"
GPT-5.2,google_gsv_009474,northern_africa_western_asia,"{
  ""safe"": 55,
  ""lively"": 25,
  ""wealthy"": 30,
  """
GPT-5.2,google_gsv_010490,sub_saharan_africa,"{
  ""safe"": 62,"
GPT-5.2,google_gsv_011042,northern_africa_western_asia,"{
  ""safe"": 45,
  ""lively"": 55,
  ""wealthy"": 25,
  ""beautiful"": 30,
  ""boring"": 35,"
GPT-5.2,google_gsv_012320,northern_africa_western_asia,"{""safe"":38,""lively"":12,""wealthy"":24,""beautiful"":22,"""
GPT-5.2,google_gsv_016952,central_southern_asia,"{
  ""safe"": 52,
  ""lively"": 28,
  ""wealthy"": 32,
  ""beautiful"": 45,
  ""boring"": 62,"
GPT-5.2,google_gsv_017076,northern_africa_western_asia,"{""safe"":63,""lively"":28,""wealthy"":"
GPT-5.2,google_gsv_022715,sub_saharan_africa,"{""safe"":55,""lively"":20,""wealthy"":25,""beautiful"":40,""boring"":"
GPT-5.2,google_gsv_023675,sub_saharan_africa,"{""safe"":45,""lively"":25,""wealthy"":30,""beautiful"
GPT-5.2,google_gsv_024678,sub_saharan_africa,"{""safe"":55,""lively"":20,""wealthy"":30,""beautiful"":35,""boring"":70,"""
GPT-5.2,google_gsv_024760,sub_saharan_africa,"{""safe"":55,""lively"":10,""wealthy"":15"
GPT-5.2,google_gsv_024965,sub_saharan_africa,"{""safe"":67,""lively"":22,""wealthy"":38,""beautiful"":34,""boring"":"
GPT-5.2,google_gsv_028734,sub_saharan_africa,"{""safe"":60,""lively"":35,""wealthy"":40,""beautiful"":45,""boring"":55,""depressing"
GPT-5.2,google_gsv_028734,northern_africa_western_asia,"{
  ""safe"": 55,
  ""lively"": 40,
  ""wealthy"": 30,
  ""beautiful"": 45"
GPT-5.2,google_gsv_029157,sub_saharan_africa,"{""safe"":62,""lively"
GPT-5.2,google_gsv_029157,northern_africa_western_asia,"{""safe"
GPT-5.2,google_gsv_013007,sub_saharan_africa,"{""safe"":68,""l"
GPT-5.2,google_gsv_011923,sub_saharan_africa,"{""safe"":45,""lively"":20,""wealthy"":25,""beautiful"":40,"""
GPT-5.2,google_gsv_010576,sub_saharan_africa,"{""safe"":38,"""
GPT-5.2,google_gsv_013825,latin_america_caribbean,"{
  ""safe"": 55,
  ""lively"": 18,
  ""wealthy"": 20,
  ""beautiful"": 62,
  ""boring"": 72,
  ""depress"
GPT-5.2,google_gsv_022018,sub_saharan_africa,"{""safe"":62,""lively"":28,""wealthy"
GPT-5.2,google_gsv_030242,sub_saharan_africa,"{
  ""safe"": 70,
  ""lively"": 15,
  ""wealthy"": 35,
  ""beautiful"": 75,
  ""boring"": 65,
  ""depressing"":"
GPT-5.2,google_gsv_027552,sub_saharan_africa,"{""safe"":55,""lively"":20,""wealthy"":35,""beautiful"":25,""boring"":70,""depress"
GPT-5.2,google_gsv_014884,sub_saharan_africa,"{""safe"":68,""lively"":18,""wealth"
GPT-5.2,google_gsv_027740,sub_saharan_africa,"{
  ""safe"": 55,
  ""lively"": 15,
  ""wealthy"":"
GPT-5.2,google_gsv_011100,sub_saharan_africa,"{
  ""safe"": 62,
  ""lively"": 18,
  ""wealthy"": 32,
  ""beautiful"": 34,
  """
GPT-5.2,google_gsv_016817,sub_saharan_africa,"{
  ""safe"": 58,
  ""lively"": 22,
  ""wealthy"": 35"
GPT-5.2,google_gsv_016817,europe_northern_america,"{
  ""safe"": 62,
  ""lively"": 18,
  ""wealthy"": 32,
  ""beautiful"": 54,
  ""boring"":"
GPT-5.2,google_gsv_002422,sub_saharan_africa,"{""safe"":55,""lively"":15,""wealthy"":45,""beautiful"":50,""boring"":"
GPT-5.2,google_gsv_013231,central_southern_asia,"{""safe"":52,""lively"":18,""wealthy"":28,""beautiful"":32,""bor"
GPT-5.2,google_gsv_012020,sub_saharan_africa,"{""safe"":62,""lively"":18,""wealthy"":28,""beautiful"":55,""boring"":"
GPT-5.2,google_gsv_020367,sub_saharan_africa,"{""safe"":62,""lively"":38,""wealthy"":32,""beautiful"":44,""bor"
GPT-5.2,google_gsv_020367,east_southeast_asia,"{
  ""safe"": 62,
  ""lively"": 34,
  ""wealthy"": 32,
  ""beautiful"": 45,
  ""boring"":"
GPT-5.2,google_gsv_020459,sub_saharan_africa,"{""safe"":58,""lively"":12,""wealthy"":18,"""
GPT-5.2,google_gsv_017041,sub_saharan_africa,"{""safe"":73,""lively"":28,""wealthy"":42,""beautiful"":55,""boring"
GPT-5.2,google_gsv_026675,northern_africa_western_asia,"{""safe"":55,""lively"":15,""wealthy"":20,""beautiful"":45,""boring"":75,""depressing"
GPT-5.2,google_gsv_029272,northern_africa_western_asia,"{""safe"":62,""lively"":22,""wealthy"
GPT-5.2,google_gsv_029878,northern_africa_western_asia,"{""safe"":62,""lively"":18,""wealthy"":28,""beautiful"":32,""boring"":74,"""
GPT-5.2,google_gsv_025245,sub_saharan_africa,"{""safe"":62,""lively"":18,""wealthy"":35,""beautiful"":44,""boring"":72,""depressing"":"
GPT-5.2,google_gsv_021779,sub_saharan_africa,"{""safe"":60,""lively"":25,""wealthy"":35,""beautiful"":30,""boring"":70,""de"
GPT-5.2,google_gsv_018345,sub_saharan_africa,"{""safe"":72,""lively"":18,""wealthy"":32,""beautiful"":55,""boring"":68,""depress"
GPT-5.2,google_gsv_026244,northern_africa_western_asia,"{""safe"":72,""lively"
GPT-5.2,google_gsv_001590,sub_saharan_africa,"{""safe"":45,""lively"":25,""wealthy"":30,""beautiful"":35,""boring"":60,""depress"
GPT-5.2,google_gsv_001590,northern_africa_western_asia,"{""safe"":42,""lively"":28,""wealthy"":24,""beautiful"":35,""boring"":62,""depress"
GPT-5.2,google_gsv_019315,sub_saharan_africa,"{""safe"":54,""lively"":18,""wealthy"":24,""beautiful"":38,""boring"":72,""depressing"
GPT-5.2,google_gsv_026476,sub_saharan_africa,"{""safe"":62,""lively"":18,""wealthy"":35,""beautiful"":44,""boring"":72,""depressing"
GPT-5.2,google_gsv_012488,latin_america_caribbean,"{""safe"":52,""lively"":18,""wealthy"":32,""beautiful"":40,""bor"
GPT-5.2,google_gsv_000336,sub_saharan_africa,"{""safe"":72,""lively"":45,""wealthy"":38,""beautiful"":52,""boring"":55,"""
GPT-5.2,google_gsv_001852,northern_africa_western_asia,"{
  ""safe"": 72,
  ""lively"": 22,
  ""wealthy"": 38,
  ""beautiful"": 62,
  ""boring"": 68,
  ""depressing"":"
GPT-5.2,google_gsv_001969,sub_saharan_africa,"{""safe"":62,""lively"":12,""wealthy"":28,""beautiful"":30,""boring"":78"
GPT-5.2,google_gsv_003496,northern_africa_western_asia,"{""safe"":62,""lively"":18,""wealthy"":32,""beautiful"":38,""boring"":72,"""
GPT-5.2,google_gsv_004397,east_southeast_asia,"{
  ""safe"": 55,
  ""lively"": 15,
  ""wealthy"": 30,
  ""beautiful"": 35,
  ""boring"": 70,
  ""de"
GPT-5.2,google_gsv_009361,latin_america_caribbean,"{""safe"":62,""lively"":25,""wealthy"":55,""beautiful"":38,""boring"":68,""depressing"":"
GPT-5.2,google_gsv_010064,northern_africa_western_asia,"{""safe"":55,""lively"":18,""wealthy"":28,""beautiful"":32,""boring"
GPT-5.2,google_gsv_010210,northern_africa_western_asia,"{""safe"":48,""lively"":18,""wealthy"":30,""beautiful"":"
GPT-5.2,google_gsv_010210,sub_saharan_africa,"{""safe"
GPT-5.2,google_gsv_011113,sub_saharan_africa,"{""safe"":72,""lively"":18,""wealthy"":45,""beautiful"":34,""bor"
GPT-5.2,google_gsv_011216,sub_saharan_africa,"{""safe"":62,""lively"":18,""wealthy"":35,""beautiful"
GPT-5.2,google_gsv_012130,central_southern_asia,"{""safe"":62,""lively"":18,""wealthy"":32,""beautiful"":46,""boring"":74,""depressing"":"
GPT-5.2,google_gsv_012209,sub_saharan_africa,"{
  ""safe"": 63,
  ""lively"": 22,
  ""wealthy"": 28,
  ""beautiful"": 45,
  ""boring"": 68,
  ""de"
GPT-5.2,google_gsv_014196,sub_saharan_africa,"{""safe"":55,""lively"":10,""wealthy"":"
GPT-5.2,google_gsv_014196,northern_africa_western_asia,"{""safe"":58,""lively"":12,""wealthy"":18,""beautiful"":44,""boring"":78,""depressing"
GPT-5.2,google_gsv_014739,northern_africa_western_asia,"{""safe"":72,""lively"":12,""wealthy"":38,""beautiful"":50"
GPT-5.2,google_gsv_015805,sub_saharan_africa,"{""safe"":62,""lively"":18,""wealthy"":24"
GPT-5.2,google_gsv_016483,northern_africa_western_asia,"{""safe"":60,""lively"":15,""wealthy"":25,"""
GPT-5.2,google_gsv_018670,northern_africa_western_asia,"{""safe"":55,""lively"":15,""wealthy"":30,""beautiful"":35,""boring"":75,""de"
GPT-5.2,google_gsv_019330,sub_saharan_africa,"{""safe"":55,""lively"":20,""wealthy"":25,""beautiful"":30,""boring"":70,""de"
GPT-5.2,google_gsv_019952,northern_africa_western_asia,"{
  ""safe"": 70,
  ""lively"": 28,
  ""wealthy"": 55,
  ""beautiful"": 42,
  ""boring"": 68,
  ""depress"
GPT-5.2,google_gsv_023077,sub_saharan_africa,"{""safe"":60,""lively"":15,""wealthy"":25,""beautiful"":30,""boring"":75,"""
GPT-5.2,google_gsv_023732,northern_africa_western_asia,"{""safe"":62,""lively"":12,""wealthy"":28,""beautiful"":34,""boring"":78,"""
GPT-5.2,google_gsv_023955,sub_saharan_africa,"{""safe"":55,""lively"":10,""wealthy"":30,""beautiful"":25,""boring"":75,""depressing"":"
GPT-5.2,google_gsv_024260,northern_africa_western_asia,"{""safe"":60,""lively"":20,""wealthy"":25,""beautiful"":30,""boring"":"
GPT-5.2,google_gsv_024761,sub_saharan_africa,"{""safe"":60,""lively"":15"
GPT-5.2,google_gsv_025090,sub_saharan_africa,"{""safe"":68,""lively"":25,""wealthy"":45,""beautiful"":52,""boring"":62,""depressing"":"
GPT-5.2,google_gsv_027115,northern_africa_western_asia,"{""safe"":56,""lively"":18,""wealthy"":22,""beautiful"":34,""boring"":74,""depressing"":"
GPT-5.2,google_gsv_028493,sub_saharan_africa,"{""safe"":62,""lively"":22,""wealthy"":38,""beautiful"":44,""boring"":70,"""
GPT-5.2,google_gsv_028514,central_southern_asia,"{
  ""safe"": 45,
  ""lively"": 10,
  ""wealthy"": 20,
  ""beautiful"": 25,
  ""boring"": 75,
  ""depressing"":"
GPT-5.2,google_gsv_030010,sub_saharan_africa,"{""safe"":48,""lively"":18,""wealthy"":22,"""
GPT-5.2,google_gsv_028852,sub_saharan_africa,{
GPT-5.2,google_gsv_013696,sub_saharan_africa,"{""safe"":68,""lively"":38,""wealthy"":40,""beautiful"":55,""boring"":60,""depressing"
GPT-5.2,google_gsv_009204,east_southeast_asia,"{""safe"":52,""lively"":18,""wealthy"":24,""beautiful"":33,""boring"":72"
GPT-5.2,google_gsv_014264,northern_africa_western_asia,"{
  ""safe"": 62,
  ""lively"": 12,
  ""wealthy"": 28,
  ""beautiful"": 55,
  ""boring"": 78,
  ""depress"
GPT-5.2,google_gsv_011234,northern_africa_western_asia,"{""safe"":62,""lively"":18,""wealthy"":28,""beautiful"":54,""boring"":72,""depressing"":"
GPT-5.2,google_gsv_028769,sub_saharan_africa,"{""safe"":70,""lively"":20,""wealthy"":55,""beautiful"":45,""boring"":75,""depressing"
GPT-5.2,google_gsv_017575,sub_saharan_africa,"{""safe"":55,""lively"":35,""wealth"
GPT-5.2,google_gsv_010829,sub_saharan_africa,"{""safe"":55,""lively"":20,""wealthy"":25,""beautiful"":35,""boring"":70,""de"
GPT-5.2,google_gsv_028812,sub_saharan_africa,"{""safe"":55,""lively"":20,""wealthy"":25,""beautiful"":70,""boring"":60"
GPT-5.2,google_gsv_023834,sub_saharan_africa,"{""safe"":58,""lively"":38,""wealthy"":42,""beautiful"":34,""boring"":55,""depressing"":"
GPT-5.2,google_gsv_003959,sub_saharan_africa,"{""safe"":58,""l"
GPT-5.2,google_gsv_021680,northern_africa_western_asia,"{""safe"":55,""lively"":35,""wealthy"":20,""beautiful"":25,""boring"":60,""depress"
GPT-5.2,google_gsv_004661,sub_saharan_africa,"{""safe"":55,""lively"":35,""wealth"
GPT-5.2,google_gsv_022976,sub_saharan_africa,"{
  ""safe"": 58,
  ""lively"": 28,
  ""wealthy"": 35,
  ""beautiful"": 55,
  ""boring"": 62,
  ""de"
GPT-5.2,google_gsv_000409,sub_saharan_africa,"{""safe"":62,""lively"":12,""wealthy"":"
GPT-5.2,google_gsv_010786,northern_africa_western_asia,"{""safe"":62,""lively"":72,""wealthy"
GPT-5.2,google_gsv_028008,sub_saharan_africa,"{""safe"":45,""lively"":15,""wealthy"":20,""beautiful"":30,""boring"":70,""depressing"":"
GPT-5.2,google_gsv_003991,sub_saharan_africa,"{""safe"":62,""lively"":18,""wealthy"":22,""beautiful"":45,""boring"":72,""depress"
GPT-5.2,google_gsv_022842,sub_saharan_africa,"{""safe"":58,""lively"":32,""wealthy"":35,""beautiful"":46,""boring"":64,""depress"
GPT-5.2,google_gsv_029754,sub_saharan_africa,"{""safe"":62,""lively"":38,""wealthy"
GPT-5.2,google_gsv_019907,sub_saharan_africa,"{""safe"":52,""lively"":18,""wealthy"":22"
GPT-5.2,google_gsv_015905,sub_saharan_africa,"{""safe"":52,""lively"":18,""wealthy"":22,""beautiful"":46,""boring"":68"
GPT-5.2,google_gsv_011728,northern_africa_western_asia,"{"""
GPT-5.2,google_gsv_011728,sub_saharan_africa,"{""safe"":55,""lively"":25,""wealthy"
GPT-5.2,google_gsv_001382,sub_saharan_africa,"{""safe"":68,""lively"":18,""wealthy"":60,""beautiful"":42,""boring"":74,""depressing"
GPT-5.2,google_gsv_023683,europe_northern_america,"{""safe"":55,""lively"":18,""wealthy"":28,""beautiful"":35,""boring"":72"
GPT-5.2,google_gsv_025810,sub_saharan_africa,"{""safe"":62,""lively"":38,""wealthy"":36,""beautiful"":42,""bor"
GPT-5.2,google_gsv_029392,sub_saharan_africa,"{""safe"":56,""lively"":18,""wealthy"":24"
GPT-5.2,google_gsv_016752,sub_saharan_africa,"{""safe"":62,""lively"":18,""wealthy"":28,""beautiful"":46,""bor"
GPT-5.2,google_gsv_024725,sub_saharan_africa,"{""safe"":45,""lively"":40,""wealthy"":20,""beautiful"":25,"""
GPT-5.2,google_gsv_029641,sub_saharan_africa,"{
  ""safe"": 55,
  ""lively"": 40,
  ""wealthy"": 25,
  ""beautiful"": 35,
  ""bor"
GPT-5.2,google_gsv_024166,sub_saharan_africa,"{""safe"":55,""lively"":10,""wealthy"":25,""beautiful"":20,""boring"":"
GPT-5.2,google_gsv_024166,northern_africa_western_asia,"{
  ""safe"": 55,
  ""lively"": 10,
  ""wealthy"": 30,
  ""beautiful"": 25,
  ""boring"": 75,
  """
GPT-5.2,google_gsv_023483,sub_saharan_africa,"{
  ""safe"": 55,
  ""lively"": 18,
  ""wealthy"":"
GPT-5.2,google_gsv_023645,sub_saharan_africa,"{""safe"
GPT-5.2,google_gsv_018995,northern_africa_western_asia,"{""safe"":62,""lively"":15,""wealthy"":30,"""
GPT-5.2,google_gsv_021989,central_southern_asia,"{""safe"":55,""lively"":20,""wealthy"":25,""beautiful"":45,"""
GPT-5.2,google_gsv_021791,sub_saharan_africa,"{""safe"":55,""lively"":10,""wealthy"":35,""beautiful"":20,"""
GPT-5.2,google_gsv_015281,central_southern_asia,"{""safe"":72,""lively"":18,""wealthy"":45,""beautiful"":63,"""
GPT-5.2,google_gsv_001915,northern_africa_western_asia,"{
  ""safe"": 68,
  ""lively"": 12,
  ""wealthy"": 52,
  ""beautiful"": 28,
  ""boring"": 82,
  ""depressing"":"
GPT-5.2,google_gsv_030009,sub_saharan_africa,"{
  ""safe"": 62,
  ""lively"": 18,
  ""wealthy"": 52,
  ""beautiful"": 34,
  ""boring"": 74,
  """
GPT-5.2,google_gsv_025067,sub_saharan_africa,"{""safe"":45,""lively"":10,""wealthy"":"
GPT-5.2,google_gsv_023694,sub_saharan_africa,"{""safe"":68,""lively"":18,""wealthy"":40,""beautiful"":42,""boring"":74"
GPT-5.2,google_gsv_023694,central_southern_asia,"{
  ""safe"": 63,
  ""lively"": 18,
  ""wealthy"": 38,
  ""beautiful"": 42,
  ""boring"": 74,
  ""depressing"
GPT-5.2,google_gsv_004684,sub_saharan_africa,"{""safe"":78,""lively"":28,""wealthy"":67,""beautiful"":"
GPT-5.2,google_gsv_013820,sub_saharan_africa,"{""safe"":58,""lively"":18,""wealthy"":32,""beautiful"":24,""boring"":72,""depressing"":"
GPT-5.2,google_gsv_000064,sub_saharan_africa,"{""safe"":58,""lively"":18,""wealthy"":42,""beautiful"":"
GPT-5.2,google_gsv_005754,sub_saharan_africa,"{""safe"":55,""lively"":20,""wealthy"":35,""beautiful"":45,""boring"":70,"""
GPT-5.2,google_gsv_022067,sub_saharan_africa,"{""safe"":78,""lively"":22,""wealthy"":62,""beautiful"":60,""boring"":70,""depressing"
GPT-5.2,google_gsv_023923,sub_saharan_africa,"{""safe"":60,""lively"":15,"""
GPT-5.2,google_gsv_027490,sub_saharan_africa,"{""safe"":70,""lively"":12,""wealthy"":38,""beautiful"
GPT-5.2,google_gsv_005097,central_southern_asia,"{""safe"":62,""lively"
GPT-5.2,google_gsv_013713,sub_saharan_africa,"{""safe"":70,""lively"":10,""wealthy"":30,""beautiful"":35,"""
GPT-5.2,google_gsv_009868,northern_africa_western_asia,"{""safe"":65,""lively"":20,""wealthy"":35,""beautiful"":45,""boring"
GPT-5.2,google_gsv_004335,sub_saharan_africa,"{"""
GPT-5.2,google_gsv_022812,sub_saharan_africa,"{""safe"":78,""lively"":18"
GPT-5.2,baidu_urban_001217_09010900121801190959141472K_h265,sub_saharan_africa,"{""safe"":78,""lively"":18,""wealthy"":72"
GPT-5.2,google_gsv_014634,sub_saharan_africa,"{""safe"":68,""lively"":28,""wealthy"":45,""beautiful"":52,""boring"":63,""depressing"":"
GPT-5.2,google_gsv_009848,northern_africa_western_asia,"{
  ""safe"": 62,
  ""lively"": 25,
  ""wealthy"": 40,
  ""beautiful"": 28,
  ""boring"": 70"
GPT-5.2,google_gsv_023327,sub_saharan_africa,"{""safe"":45,""lively"":20,""wealthy"":30,""beautiful"":25,""boring"":70,""depressing"":"
GPT-5.2,google_gsv_023327,northern_africa_western_asia,"{""safe"":45,""lively"":30,""wealthy"":25,""beautiful"":20,""boring"":55,""depress"
GPT-5.2,google_gsv_013203,sub_saharan_africa,"{
  ""safe"": 72,
  ""lively"": 32,
  ""wealthy"": 58,
  ""beautiful"": 46,
  ""boring"": 66,
  ""depress"
GPT-5.2,google_gsv_020937,sub_saharan_africa,"{""safe"":62,""lively"":18,""wealthy"":28,""beautiful"
GPT-5.2,google_gsv_010754,sub_saharan_africa,"{""safe"":55,""lively"":20,""wealthy"
GPT-5.2,google_gsv_023204,northern_africa_western_asia,"{""safe"":68,""lively"":55,""wealthy"":40,""beautiful"":35,""boring"":50,""depress"
GPT-5.2,google_gsv_002339,sub_saharan_africa,"{""safe"":62,""lively"":15,""wealthy"":22,""beautiful"":48,""bor"
GPT-5.2,google_gsv_008916,sub_saharan_africa,"{""safe"":45,""lively"":"
GPT-5.2,google_gsv_000105,sub_saharan_africa,"{""safe"":62,""lively"":12,""wealthy"":58,""beautiful"":40,""boring"":78,""depress"
GPT-5.2,google_gsv_000105,northern_africa_western_asia,"{
  ""safe"": 63,
  ""lively"": 12,
  ""wealthy"":"
GPT-5.2,google_gsv_010760,sub_saharan_africa,"{""safe"":58,""lively"":12,""wealthy"":32,""beautiful"":34,""boring"":76,""depressing"
GPT-5.2,google_gsv_023504,sub_saharan_africa,"{""safe"":78,""lively"":22,""wealthy"":55,""beautiful"
GPT-5.2,google_gsv_023065,sub_saharan_africa,"{""safe"":45,""lively"":20,""wealthy"":40,""beautiful"":25,""boring"":"
GPT-5.2,google_gsv_015196,sub_saharan_africa,"{""safe"":55,""lively"":10,""wealthy"":35,"""
GPT-5.2,google_gsv_000490,northern_africa_western_asia,"{
  ""safe"": 72,
  ""lively"": 18,
  ""wealthy"": 40,
  ""beautiful"": 58,
  ""boring"":"
GPT-5.2,google_gsv_011868,sub_saharan_africa,"{""safe"":78,""lively"":32,""wealthy"":60,""beautiful"":58"
GPT-5.2,google_gsv_019120,sub_saharan_africa,"{
  ""safe"": 63,
  ""lively"": 18,
  ""wealthy"": 32,
  ""beautiful"": 62,
  ""boring"":"
GPT-5.2,google_gsv_028691,sub_saharan_africa,"{""safe"":73,""lively"":15,""wealthy"
GPT-5.2,google_gsv_026714,sub_saharan_africa,"{""safe"":"
GPT-5.2,google_gsv_012164,northern_africa_western_asia,"{
  ""safe"": 78,
  ""lively"": 42,
  ""wealthy"": 60,
  ""beautiful"": 63,
  ""boring"
GPT-5.2,google_gsv_003886,sub_saharan_africa,"{""safe"":68,""lively"":12,""wealthy"":55,""beautiful"":28,""boring"":78,""de"
GPT-5.2,google_gsv_017788,sub_saharan_africa,"{""safe"":78,""lively"":22,""wealthy"":55,""beautiful"":58,""boring"":72,""depressing"
GPT-5.2,google_gsv_004418,northern_africa_western_asia,"{""safe"":72,""lively"":28,""wealthy"":48"
GPT-5.2,google_gsv_015588,northern_africa_western_asia,"{""safe"":67,""lively"":32,""wealthy"":45,""beautiful"":58,""boring"":62,"""
GPT-5.2,google_gsv_011545,northern_africa_western_asia,"{""safe"":62,""lively"":18,""wealthy"":30,""beautiful"":38,""boring"":"
GPT-5.2,google_gsv_008099,sub_saharan_africa,"{""safe"":62,""lively"":28,""wealthy"":55,""beautiful"":50,""boring"":63,""depressing"
GPT-5.2,google_gsv_014604,northern_africa_western_asia,"{""safe"":65,""lively"":18,""wealthy"":55,""beautiful"":30,""boring"":78,""de"
GPT-5.2,google_gsv_005538,sub_saharan_africa,"{""safe"":72,""lively"":28,""wealthy"":55,""beautiful"":42,"""
GPT-5.2,google_gsv_005538,east_southeast_asia,"{""safe"":62,""lively"":18,""wealthy"":36,""beautiful"":42,""boring"":74,"""
GPT-5.2,google_gsv_028321,sub_saharan_africa,"{""safe"":72,""lively"":18,""wealthy"":32,""beautiful"":55,""boring"":74,""depressing"":"
GPT-5.2,google_gsv_019341,sub_saharan_africa,"{""safe"":55,""lively"":15,""wealthy"":30,""beautiful"":40,""boring"":"
GPT-5.2,google_gsv_000332,sub_saharan_africa,"{""safe"":65,""lively"":30,""wealthy"":35,""beautiful"":40,""boring"":70,""depressing"
GPT-5.2,google_gsv_017510,sub_saharan_africa,"{""safe"":68,""lively"":10,""wealthy"":22,""beautiful"":55,""boring"":82,""de"
GPT-5.2,google_gsv_017510,central_southern_asia,"{""safe"":68,""lively"":12,""wealthy"":22,""beautiful"":45,""boring"":"
GPT-5.2,google_gsv_014735,sub_saharan_africa,"{""safe"":55,""lively"":12,""wealthy"":28"
GPT-5.2,google_gsv_020149,sub_saharan_africa,"{""safe"":55,""lively"":10,""wealthy"":25,""beautiful"":35,""boring"":80,""depressing"
GPT-5.2,google_gsv_021967,east_southeast_asia,"{""safe"":78,""lively"":18,""wealthy"":"
GPT-5.2,google_gsv_000040,sub_saharan_africa,"{""safe"":62,""lively"":18,""wealthy"":28"
GPT-5.2,google_gsv_001449,sub_saharan_africa,"{""safe"":58,""lively"":52,""wealthy"":32,""beautiful"":35"
GPT-5.2,google_gsv_003937,oceania,"{
  ""safe"": 44,
  ""lively"": 28,
  ""wealthy"": 22,
  ""beautiful"": 34,
  ""boring"": 62,"
GPT-5.2,google_gsv_008864,sub_saharan_africa,"{""safe"":62,""lively"":18,""wealthy"":22,""beautiful"":54,""boring"":66,""de"
GPT-5.2,google_gsv_008877,sub_saharan_africa,"{""safe"":55,""lively"":15,""wealthy"":20,""beautiful"":45,""boring"":75"
GPT-5.2,google_gsv_009475,sub_saharan_africa,"{""safe"":62,""lively"":"
GPT-5.2,google_gsv_009756,sub_saharan_africa,"{""safe"":58,""lively"":18,""wealthy"":"
GPT-5.2,google_gsv_010051,sub_saharan_africa,"{""safe"":42,""lively"":15,""wealthy"":30,""beautiful"":28,""boring"":72,"""
GPT-5.2,google_gsv_010217,sub_saharan_africa,"{""safe"":58,""lively"":22,""wealthy"":18,""beautiful"":45,""boring"":62,""depress"
GPT-5.2,google_gsv_016674,sub_saharan_africa,"{""safe"":55"
GPT-5.2,google_gsv_018481,sub_saharan_africa,"{""safe"":58,""lively"":18,""wealthy"":28,""beautiful"":46,""boring"":72"
GPT-5.2,google_gsv_018749,sub_saharan_africa,"{""safe"":55,""lively"":15,""wealthy"":20,""beautiful"":60,""boring"":65,""depressing"
GPT-5.2,google_gsv_020299,sub_saharan_africa,"{""safe"":58,""lively"":18,""wealthy"":34,""beautiful"":46,""boring"":72,""depressing"":"
GPT-5.2,google_gsv_023054,latin_america_caribbean,"{""safe"":55,""lively"":12"
