model_label,row_index,structured_score,structured_dim,baseline_score_100
GPT-5.2,73,58,wealthy,81.18700000000001
GPT-5.2,74,55,wealthy,49.256
GPT-5.2,75,45,wealthy,43.604
GPT-5.2,76,55,wealthy,74.094
GPT-5.2,77,52,wealthy,68.718
GPT-5.2,78,55,wealthy,56.747
GPT-5.2,79,52,wealthy,57.372
GPT-5.2,80,45,wealthy,86.72800000000001
GPT-5.2,81,52,wealthy,20.343
GPT-5.2,82,45,wealthy,62.716
GPT-5.2,83,55,wealthy,74.07300000000001
GPT-5.2,84,55,wealthy,77.321
GPT-5.2,85,45,wealthy,33.256
GPT-5.2,86,60,wealthy,74.023
GPT-5.2,87,55,wealthy,50.021
GPT-5.2,88,50,wealthy,36.163
GPT-5.2,89,55,wealthy,45.333
GPT-5.2,90,55,wealthy,51.105999999999995
GPT-5.2,91,62,wealthy,92.511
GPT-5.2,92,45,wealthy,84.298
GPT-5.2,93,62,wealthy,55.182
GPT-5.2,94,70,wealthy,85.925
GPT-5.2,95,40,wealthy,50.43599999999999
GPT-5.2,96,52,wealthy,61.013999999999996
GPT-5.2,97,55,wealthy,42.115
GPT-5.2,98,52,wealthy,48.891999999999996
GPT-5.2,99,55,wealthy,68.616
GPT-5.2,100,52,wealthy,57.93
GPT-5.2,101,58,wealthy,61.589
GPT-5.2,102,38,wealthy,12.064
GPT-5.2,103,52,wealthy,59.30500000000001
GPT-5.2,104,62,wealthy,59.122
GPT-5.2,105,48,wealthy,26.319
GPT-5.2,106,55,wealthy,69.487
GPT-5.2,107,38,wealthy,41.172000000000004
GPT-5.2,108,45,wealthy,62.001999999999995
GPT-5.2,109,60,wealthy,73.281
GPT-5.2,110,58,wealthy,81.496
GPT-5.2,111,55,wealthy,64.622
GPT-5.2,112,55,wealthy,57.198
GPT-5.2,113,55,wealthy,65.74900000000001
GPT-5.2,114,55,wealthy,67.426
GPT-5.2,115,42,wealthy,31.981
GPT-5.2,116,45,wealthy,38.283
GPT-5.2,117,52,wealthy,51.887
GPT-5.2,118,35,wealthy,16.632
GPT-5.2,119,42,wealthy,47.471
GPT-5.2,120,52,wealthy,82.2
GPT-5.2,121,55,wealthy,36.823
GPT-5.2,122,40,wealthy,32.832
GPT-5.2,123,34,wealthy,73.295
GPT-5.2,124,35,wealthy,46.943
GPT-5.2,125,52,wealthy,43.171
GPT-5.2,126,52,wealthy,65.742
GPT-5.2,127,42,wealthy,22.244
GPT-5.2,128,45,wealthy,63.379000000000005
GPT-5.2,129,45,wealthy,28.185
GPT-5.2,130,62,wealthy,84.47800000000001
GPT-5.2,131,45,wealthy,82.033
GPT-5.2,132,70,wealthy,89.125
GPT-5.2,133,68,wealthy,65.248
GPT-5.2,134,68,wealthy,91.82499999999999
GPT-5.2,135,48,wealthy,56.92700000000001
GPT-5.2,136,62,wealthy,40.778
GPT-5.2,137,45,wealthy,84.26299999999999
GPT-5.2,138,62,wealthy,93.401
GPT-5.2,139,67,wealthy,83.263
GPT-5.2,140,58,wealthy,69.723
GPT-5.2,141,55,wealthy,84.60499999999999
GPT-5.2,142,45,wealthy,73.636
GPT-5.2,143,55,wealthy,72.964
GPT-5.2,144,52,wealthy,75.261
GPT-5.2,145,52,wealthy,21.282999999999998
GPT-5.2,146,48,wealthy,28.241
GPT-5.2,147,60,wealthy,51.051
GPT-5.2,148,52,wealthy,49.784
GPT-5.2,149,55,wealthy,27.730999999999998
GPT-5.2,150,55,wealthy,76.449
GPT-5.2,151,35,wealthy,4.596
GPT-5.2,152,22,wealthy,4.559
GPT-5.2,153,34,wealthy,9.857
GPT-5.2,154,30,wealthy,18.543
GPT-5.2,155,62,wealthy,60.453
GPT-5.2,156,40,wealthy,24.114
GPT-5.2,157,35,wealthy,7.816
GPT-5.2,158,34,wealthy,11.036
GPT-5.2,159,45,wealthy,11.277
GPT-5.2,160,52,wealthy,40.546
GPT-5.2,161,20,wealthy,27.103
GPT-5.2,162,24,wealthy,6.297000000000001
GPT-5.2,163,22,wealthy,40.196
GPT-5.2,164,35,wealthy,10.394000000000002
GPT-5.2,165,18,wealthy,11.292
GPT-5.2,166,15,wealthy,16.054
GPT-5.2,167,38,wealthy,6.656
GPT-5.2,168,18,wealthy,15.367999999999999
GPT-5.2,169,25,wealthy,3.162
GPT-5.2,170,22,wealthy,10.024999999999999
GPT-5.2,171,44,wealthy,11.568000000000001
GPT-5.2,172,32,wealthy,33.932
GPT-5.2,173,22,wealthy,4.095
GPT-5.2,174,22,wealthy,9.314
GPT-5.2,175,70,wealthy,11.974
GPT-5.2,176,25,wealthy,22.737
GPT-5.2,177,32,wealthy,3.3760000000000003
GPT-5.2,178,20,wealthy,60.301
GPT-5.2,179,20,wealthy,4.954
GPT-5.2,180,70,wealthy,31.905
GPT-5.2,181,25,wealthy,1.155
GPT-5.2,182,50,wealthy,11.093
GPT-5.2,183,25,wealthy,50.705
GPT-5.2,184,42,wealthy,28.889
GPT-5.2,185,70,wealthy,47.092
GPT-5.2,186,35,wealthy,38.411
GPT-5.2,187,22,wealthy,12.482
GPT-5.2,188,25,wealthy,2.678
GPT-5.2,189,22,wealthy,13.572
GPT-5.2,190,22,wealthy,23.672
GPT-5.2,191,22,wealthy,8.875
GPT-5.2,192,48,wealthy,12.415000000000001
GPT-5.2,193,25,wealthy,32.619
GPT-5.2,194,30,wealthy,45.357
GPT-5.2,195,34,wealthy,9.392
GPT-5.2,196,45,wealthy,21.814
GPT-5.2,197,20,wealthy,9.08
GPT-5.2,198,35,wealthy,17.281
GPT-5.2,199,70,wealthy,62.06699999999999
GPT-5.2,200,20,wealthy,23.453
GPT-5.2,201,40,wealthy,61.413000000000004
GPT-5.2,202,25,wealthy,11.373999999999999
GPT-5.2,203,45,wealthy,63.839
GPT-5.2,204,25,wealthy,2.5269999999999997
GPT-5.2,205,72,wealthy,61.123000000000005
GPT-5.2,206,30,wealthy,12.543
GPT-5.2,207,20,wealthy,21.339000000000002
GPT-5.2,208,45,wealthy,12.705
GPT-5.2,209,52,wealthy,15.978000000000002
GPT-5.2,210,20,wealthy,25.145
GPT-5.2,211,20,wealthy,21.533
GPT-5.2,212,28,wealthy,19.499
GPT-5.2,213,25,wealthy,15.868
GPT-5.2,214,15,wealthy,31.549999999999997
GPT-5.2,215,38,wealthy,17.119
GPT-5.2,216,30,wealthy,8.65
GPT-5.2,217,45,wealthy,35.601
GPT-5.2,218,30,wealthy,6.1240000000000006
GPT-5.2,219,25,wealthy,6.393
GPT-5.2,220,45,wealthy,12.599
GPT-5.2,221,25,wealthy,5.716
GPT-5.2,222,35,wealthy,9.891
GPT-5.2,223,28,wealthy,25.036
GPT-5.2,224,22,wealthy,41.741
GPT-5.2,225,22,wealthy,12.616
GPT-5.2,226,25,wealthy,6.254
GPT-5.2,227,22,wealthy,16.575
GPT-5.2,228,30,wealthy,19.125
GPT-5.2,229,20,wealthy,32.939
GPT-5.2,230,30,wealthy,19.755
GPT-5.2,231,30,wealthy,21.552
GPT-5.2,232,35,wealthy,72.371
GPT-5.2,233,42,wealthy,39.132
GPT-5.2,234,34,wealthy,10.953999999999999
GPT-5.2,235,25,wealthy,2.736
GPT-5.2,236,22,wealthy,18.230999999999998
GPT-5.2,237,30,wealthy,20.329
GPT-5.2,238,30,wealthy,14.695
GPT-5.2,239,45,wealthy,37.648
GPT-5.2,240,45,wealthy,77.389
GPT-5.2,241,35,wealthy,55.861000000000004
GPT-5.2,242,40,wealthy,19.655
GPT-5.2,243,35,wealthy,12.543
GPT-5.2,244,34,wealthy,12.161
GPT-5.2,245,25,wealthy,26.631
GPT-5.2,246,38,wealthy,28.694000000000003
GPT-5.2,247,30,wealthy,38.32
GPT-5.2,248,30,wealthy,32.342
GPT-5.2,249,38,wealthy,33.054
GPT-5.2,250,45,wealthy,78.551
GPT-5.2,251,25,wealthy,8.541
GPT-5.2,252,20,wealthy,18.897
GPT-5.2,253,32,wealthy,6.953
GPT-5.2,254,18,wealthy,2.848
GPT-5.2,255,30,wealthy,43.83200000000001
GPT-5.2,256,18,wealthy,7.2909999999999995
GPT-5.2,257,20,wealthy,55.457
GPT-5.2,258,38,wealthy,65.816
GPT-5.2,259,20,wealthy,32.032
GPT-5.2,260,22,wealthy,9.745000000000001
GPT-5.2,261,20,wealthy,41.435
GPT-5.2,262,25,wealthy,11.380999999999998
GPT-5.2,263,45,wealthy,14.259
GPT-5.2,264,35,wealthy,15.155000000000001
GPT-5.2,265,35,wealthy,10.896999999999998
GPT-5.2,266,30,wealthy,35.315
GPT-5.2,267,25,wealthy,72.86
GPT-5.2,268,38,wealthy,58.582
GPT-5.2,269,28,wealthy,50.674
GPT-5.2,270,18,wealthy,21.645
GPT-5.2,271,18,wealthy,12.405
GPT-5.2,272,35,wealthy,51.938
GPT-5.2,273,32,wealthy,23.133
GPT-5.2,274,30,wealthy,18.177
GPT-5.2,275,22,wealthy,17.502
GPT-5.2,276,25,wealthy,16.625
GPT-5.2,277,28,wealthy,11.7
GPT-5.2,278,35,wealthy,12.206999999999999
GPT-5.2,279,22,wealthy,27.442999999999998
GPT-5.2,280,55,wealthy,38.469
GPT-5.2,281,35,wealthy,16.429000000000002
GPT-5.2,282,25,wealthy,8.491
GPT-5.2,283,28,wealthy,6.367000000000001
GPT-5.2,284,30,wealthy,10.629
GPT-5.2,285,20,wealthy,9.152000000000001
GPT-5.2,286,28,wealthy,10.078
GPT-5.2,287,32,wealthy,4.755
GPT-5.2,288,34,wealthy,30.341
GPT-5.2,289,58,wealthy,82.989
GPT-5.2,290,52,wealthy,39.142
GPT-5.2,291,42,wealthy,19.017
GPT-5.2,292,34,wealthy,36.893
GPT-5.2,293,35,wealthy,7.9959999999999996
GPT-5.2,294,30,wealthy,5.686999999999999
GPT-5.2,295,38,wealthy,67.85300000000001
GPT-5.2,296,25,wealthy,6.756
GPT-5.2,297,35,wealthy,23.601
GPT-5.2,298,28,wealthy,2.7300000000000004
GPT-5.2,299,25,wealthy,29.814
GPT-5.2,300,33,wealthy,7.861000000000001
GPT-5.2,301,32,wealthy,27.974999999999998
GPT-5.2,302,30,wealthy,22.461000000000002
GPT-5.2,303,22,wealthy,15.006
GPT-5.2,304,32,wealthy,13.210999999999999
GPT-5.2,305,25,wealthy,17.916
GPT-5.2,306,25,wealthy,12.161999999999999
GPT-5.2,307,32,wealthy,49.738
GPT-5.2,308,40,wealthy,23.87
GPT-5.2,309,32,wealthy,4.625
GPT-5.2,310,30,wealthy,45.018
GPT-5.2,311,22,wealthy,6.926
GPT-5.2,312,35,wealthy,35.609
GPT-5.2,313,30,wealthy,9.757
GPT-5.2,314,32,wealthy,43.617
GPT-5.2,315,20,wealthy,12.265999999999998
GPT-5.2,316,28,wealthy,5.175
GPT-5.2,317,22,wealthy,40.43
GPT-5.2,318,28,wealthy,8.941
GPT-5.2,319,25,wealthy,18.703
GPT-5.2,320,58,wealthy,81.301
GPT-5.2,321,18,wealthy,12.780000000000001
GPT-5.2,322,18,wealthy,8.741999999999999
GPT-5.2,323,25,wealthy,28.258000000000003
GPT-5.2,324,44,wealthy,62.671
GPT-5.2,325,28,wealthy,5.747999999999999
GPT-5.2,326,45,wealthy,25.651000000000003
GPT-5.2,327,42,wealthy,27.503999999999998
GPT-5.2,328,45,wealthy,13.420000000000002
GPT-5.2,329,20,wealthy,42.331
GPT-5.2,330,32,wealthy,6.7490000000000006
GPT-5.2,331,35,wealthy,9.564
GPT-5.2,332,40,wealthy,57.272
GPT-5.2,333,32,wealthy,37.844
GPT-5.2,334,55,wealthy,86.005
GPT-5.2,335,38,wealthy,37.916
GPT-5.2,336,28,wealthy,5.869999999999999
GPT-5.2,337,34,wealthy,9.252
GPT-5.2,338,35,wealthy,25.609
GPT-5.2,339,20,wealthy,9.701
GPT-5.2,340,22,wealthy,22.296999999999997
GPT-5.2,341,78,wealthy,47.708000000000006
GPT-5.2,342,25,wealthy,30.977999999999998
GPT-5.2,343,30,wealthy,2.721
GPT-5.2,344,30,wealthy,17.567
GPT-5.2,345,32,wealthy,7.428
GPT-5.2,346,28,wealthy,10.984
GPT-5.2,347,35,wealthy,8.286999999999999
GPT-5.2,348,30,wealthy,6.630000000000001
GPT-5.2,349,35,wealthy,31.819000000000003
GPT-5.2,350,35,wealthy,24.011999999999997
GPT-5.2,351,25,wealthy,4.372
GPT-5.2,352,46,wealthy,47.771
GPT-5.2,353,30,wealthy,77.842
GPT-5.2,354,45,wealthy,55.96
GPT-5.2,355,35,wealthy,16.343
GPT-5.2,356,20,wealthy,5.023999999999999
GPT-5.2,357,35,wealthy,27.613
GPT-5.2,358,34,wealthy,14.197
GPT-5.2,359,22,wealthy,35.756
GPT-5.2,360,28,wealthy,27.839
GPT-5.2,361,25,wealthy,17.899
GPT-5.2,362,30,wealthy,7.759
GPT-5.2,363,25,wealthy,6.212999999999999
GPT-5.2,364,38,wealthy,53.815
GPT-5.2,365,28,wealthy,8.599
GPT-5.2,366,35,wealthy,8.749
GPT-5.2,367,30,wealthy,5.838
GPT-5.2,368,22,wealthy,5.16
GPT-5.2,369,38,wealthy,61.496
GPT-5.2,370,34,wealthy,16.497999999999998
GPT-5.2,371,28,wealthy,45.111999999999995
GPT-5.2,372,32,wealthy,7.834
GPT-5.2,373,30,wealthy,6.262
GPT-5.2,374,35,wealthy,6.894
GPT-5.2,375,25,wealthy,18.324
GPT-5.2,376,30,wealthy,8.517
GPT-5.2,377,20,wealthy,29.966
GPT-5.2,378,34,wealthy,61.401
GPT-5.2,379,32,wealthy,41.777
GPT-5.2,380,25,wealthy,36.031
GPT-5.2,381,52,wealthy,79.98700000000001
GPT-5.2,382,44,wealthy,93.738
GPT-5.2,383,28,wealthy,10.323
GPT-5.2,384,46,wealthy,79.326
GPT-5.2,385,30,wealthy,22.894000000000002
GPT-5.2,386,25,wealthy,10.169999999999998
GPT-5.2,387,24,wealthy,8.876
GPT-5.2,388,34,wealthy,44.738
GPT-5.2,389,30,wealthy,10.327
GPT-5.2,390,28,wealthy,57.989
GPT-5.2,391,30,wealthy,7.829000000000001
GPT-5.2,392,42,wealthy,60.510000000000005
GPT-5.2,393,55,wealthy,15.987
GPT-5.2,394,46,wealthy,17.737000000000002
GPT-5.2,395,32,wealthy,10.439
GPT-5.2,396,38,wealthy,78.479
GPT-5.2,397,52,wealthy,30.848
GPT-5.2,398,34,wealthy,34.854
GPT-5.2,399,55,wealthy,36.368
GPT-5.2,400,32,wealthy,16.707
GPT-5.2,401,32,wealthy,11.471
GPT-5.2,402,35,wealthy,39.525999999999996
GPT-5.2,403,25,wealthy,9.657
GPT-5.2,404,25,wealthy,13.289
GPT-5.2,405,30,wealthy,13.773
GPT-5.2,406,44,wealthy,5.667
GPT-5.2,407,46,wealthy,88.416
GPT-5.2,408,32,wealthy,30.608
GPT-5.2,409,45,wealthy,9.762
GPT-5.2,410,34,wealthy,42.547
GPT-5.2,411,32,wealthy,19.574
GPT-5.2,412,42,wealthy,81.43700000000001
GPT-5.2,413,28,wealthy,34.195
GPT-5.2,414,44,wealthy,57.573
GPT-5.2,415,35,wealthy,28.820999999999998
GPT-5.2,416,45,wealthy,36.400999999999996
GPT-5.2,417,34,wealthy,33.93
GPT-5.2,418,28,wealthy,40.403000000000006
GPT-5.2,419,28,wealthy,9.858
GPT-5.2,420,34,wealthy,6.553
GPT-5.2,421,45,wealthy,57.845000000000006
GPT-5.2,422,32,wealthy,39.975
GPT-5.2,423,25,wealthy,20.677
GPT-5.2,424,36,wealthy,19.679
GPT-5.2,425,28,wealthy,48.506
GPT-5.2,426,22,wealthy,18.6
GPT-5.2,427,32,wealthy,21.774
GPT-5.2,428,25,wealthy,4.653
GPT-5.2,429,25,wealthy,33.395
GPT-5.2,430,32,wealthy,3.3600000000000003
GPT-5.2,431,28,wealthy,16.381
GPT-5.2,432,28,wealthy,20.761
GPT-5.2,433,42,wealthy,76.2
GPT-5.2,434,45,wealthy,16.532
GPT-5.2,435,20,wealthy,4.678
GPT-5.2,436,35,wealthy,63.221
GPT-5.2,437,45,wealthy,9.383000000000001
GPT-5.2,438,20,wealthy,37.143
GPT-5.2,439,22,wealthy,44.088
GPT-5.2,440,28,wealthy,16.187
GPT-5.2,441,40,wealthy,38.021
GPT-5.2,442,28,wealthy,10.754
GPT-5.2,443,32,wealthy,25.701999999999998
GPT-5.2,444,42,wealthy,20.977999999999998
GPT-5.2,445,22,wealthy,11.952
GPT-5.2,446,30,wealthy,42.588
GPT-5.2,447,28,wealthy,10.638000000000002
GPT-5.2,448,32,wealthy,43.010999999999996
GPT-5.2,449,28,wealthy,15.115
GPT-5.2,450,25,wealthy,24.531999999999996
GPT-5.2,451,25,wealthy,22.233999999999998
GPT-5.2,452,20,wealthy,10.771999999999998
GPT-5.2,453,25,wealthy,70.82300000000001
GPT-5.2,454,32,wealthy,49.113
GPT-5.2,455,62,wealthy,31.421
GPT-5.2,456,34,wealthy,25.707
GPT-5.2,457,28,wealthy,14.371
GPT-5.2,458,22,wealthy,9.558
GPT-5.2,459,18,wealthy,16.771
GPT-5.2,460,28,wealthy,55.513000000000005
GPT-5.2,461,30,wealthy,31.232000000000003
GPT-5.2,462,38,wealthy,23.506999999999998
GPT-5.2,463,25,wealthy,7.934
GPT-5.2,464,25,wealthy,4.324
GPT-5.2,465,20,wealthy,4.502
GPT-5.2,466,60,wealthy,67.992
GPT-5.2,467,55,wealthy,72.222
GPT-5.2,468,35,wealthy,55.103
GPT-5.2,469,30,wealthy,35.538
GPT-5.2,470,22,wealthy,26.706
GPT-5.2,471,30,wealthy,14.15
GPT-5.2,472,30,wealthy,58.168
GPT-5.2,473,38,wealthy,63.319
GPT-5.2,474,55,wealthy,29.514999999999997
GPT-5.2,475,25,wealthy,8.856
GPT-5.2,476,56,wealthy,87.973
GPT-5.2,477,34,wealthy,18.695999999999998
GPT-5.2,478,25,wealthy,12.786999999999999
GPT-5.2,479,35,wealthy,26.505000000000003
GPT-5.2,480,28,wealthy,11.395999999999999
GPT-5.2,481,28,wealthy,52.056
GPT-5.2,482,32,wealthy,12.15
GPT-5.2,483,40,wealthy,31.328999999999997
GPT-5.2,484,30,wealthy,16.571
GPT-5.2,485,62,wealthy,45.686
GPT-5.2,486,25,wealthy,6.092
GPT-5.2,487,35,wealthy,22.02
GPT-5.2,488,28,wealthy,12.537
GPT-5.2,489,28,wealthy,34.093
GPT-5.2,490,40,wealthy,6.337000000000001
GPT-5.2,491,30,wealthy,5.388
GPT-5.2,492,35,wealthy,56.315999999999995
GPT-5.2,493,18,wealthy,8.599
GPT-5.2,494,10,wealthy,56.025
GPT-5.2,495,30,wealthy,6.539000000000001
GPT-5.2,496,20,wealthy,13.205
GPT-5.2,497,38,wealthy,47.26
GPT-5.2,498,55,wealthy,22.505000000000003
GPT-5.2,499,25,wealthy,6.800000000000001
GPT-5.2,500,28,wealthy,21.795
GPT-5.2,501,18,wealthy,8.174
GPT-5.2,502,38,wealthy,52.08
GPT-5.2,503,38,wealthy,28.736
GPT-5.2,504,25,wealthy,38.33
GPT-5.2,505,32,wealthy,10.987
GPT-5.2,506,32,wealthy,60.925000000000004
GPT-5.2,507,35,wealthy,27.287
GPT-5.2,508,30,wealthy,70.735
GPT-5.2,509,34,wealthy,27.635
GPT-5.2,510,25,wealthy,47.156000000000006
GPT-5.2,511,45,wealthy,12.190000000000001
GPT-5.2,512,34,wealthy,32.203
GPT-5.2,513,25,wealthy,2.924
GPT-5.2,514,20,wealthy,19.207
GPT-5.2,515,36,wealthy,49.781000000000006
GPT-5.2,516,45,wealthy,73.825
GPT-5.2,517,32,wealthy,57.687
GPT-5.2,518,15,wealthy,13.795
GPT-5.2,519,20,wealthy,14.835
GPT-5.2,520,20,wealthy,13.305
GPT-5.2,521,38,wealthy,74.63
GPT-5.2,522,63,wealthy,68.876
GPT-5.2,523,35,wealthy,17.193
GPT-5.2,524,26,wealthy,19.482
GPT-5.2,525,22,wealthy,11.063
GPT-5.2,526,30,wealthy,2.069
GPT-5.2,527,22,wealthy,38.771
GPT-5.2,528,55,wealthy,39.126
GPT-5.2,529,28,wealthy,19.253
GPT-5.2,530,38,wealthy,39.592
GPT-5.2,531,25,wealthy,45.287
GPT-5.2,532,32,wealthy,13.743
GPT-5.2,533,55,wealthy,63.72
GPT-5.2,534,30,wealthy,28.642
GPT-5.2,535,20,wealthy,3.934
GPT-5.2,536,32,wealthy,21.333000000000002
GPT-5.2,537,20,wealthy,39.844
GPT-5.2,538,30,wealthy,27.839
GPT-5.2,539,28,wealthy,13.091
GPT-5.2,540,25,wealthy,3.955
GPT-5.2,541,28,wealthy,34.958999999999996
GPT-5.2,542,30,wealthy,19.331
GPT-5.2,543,25,wealthy,16.991
GPT-5.2,544,24,wealthy,16.101
GPT-5.2,545,18,wealthy,21.512999999999998
GPT-5.2,546,22,wealthy,35.427
GPT-5.2,547,22,wealthy,10.04
GPT-5.2,548,45,wealthy,28.421
GPT-5.2,549,35,wealthy,38.953
GPT-5.2,550,30,wealthy,2.727
GPT-5.2,551,28,wealthy,22.469
GPT-5.2,552,20,wealthy,32.14
GPT-5.2,553,25,wealthy,10.748999999999999
GPT-5.2,554,20,wealthy,13.317
GPT-5.2,555,22,wealthy,5.322
GPT-5.2,556,42,wealthy,41.877
GPT-5.2,557,72,wealthy,9.254
GPT-5.2,558,20,wealthy,22.115000000000002
GPT-5.2,559,40,wealthy,16.463
GPT-5.2,560,20,wealthy,7.157
GPT-5.2,561,30,wealthy,13.854
GPT-5.2,562,25,wealthy,23.283
GPT-5.2,563,22,wealthy,5.443
GPT-5.2,564,25,wealthy,39.1
GPT-5.2,565,20,wealthy,6.471
GPT-5.2,566,40,wealthy,13.865
GPT-5.2,567,20,wealthy,15.436
GPT-5.2,568,28,wealthy,28.262
GPT-5.2,569,18,wealthy,7.697000000000001
GPT-5.2,570,55,wealthy,27.041
GPT-5.2,571,24,wealthy,13.698999999999998
GPT-5.2,572,22,wealthy,11.536999999999999
GPT-5.2,573,40,wealthy,12.293000000000001
GPT-5.2,574,20,wealthy,3.4610000000000003
GPT-5.2,575,48,wealthy,51.19
GPT-5.2,576,18,wealthy,3.747
GPT-5.2,577,22,wealthy,25.169
GPT-5.2,578,32,wealthy,23.307000000000002
GPT-5.2,579,18,wealthy,25.807000000000002
GPT-5.2,580,15,wealthy,29.391
GPT-5.2,581,24,wealthy,9.565
GPT-5.2,582,18,wealthy,15.342
GPT-5.2,583,25,wealthy,6.7
GPT-5.2,584,30,wealthy,10.602
GPT-5.2,585,20,wealthy,14.592
GPT-5.2,586,20,wealthy,41.702000000000005
GPT-5.2,587,35,wealthy,56.422
GPT-5.2,588,28,wealthy,31.548
GPT-5.2,589,30,wealthy,36.461
GPT-5.2,590,42,wealthy,28.147000000000002
GPT-5.2,591,42,wealthy,60.306
GPT-5.2,592,28,wealthy,10.826
GPT-5.2,593,40,wealthy,45.772000000000006
GPT-5.2,594,63,wealthy,23.041
GPT-5.2,595,18,wealthy,29.895
GPT-5.2,596,45,wealthy,18.698
GPT-5.2,597,18,wealthy,0.994
GPT-5.2,598,20,wealthy,81.281
GPT-5.2,599,18,wealthy,24.387
GPT-5.2,600,20,wealthy,25.595
GPT-5.2,601,18,wealthy,28.848
GPT-5.2,602,35,wealthy,17.474
GPT-5.2,603,22,wealthy,6.513999999999999
GPT-5.2,604,25,wealthy,22.083
GPT-5.2,605,35,wealthy,11.467
GPT-5.2,606,35,wealthy,8.096
GPT-5.2,607,22,wealthy,45.528000000000006
GPT-5.2,608,18,wealthy,5.486
GPT-5.2,609,25,wealthy,21.099
GPT-5.2,610,22,wealthy,22.72
GPT-5.2,611,20,wealthy,21.997
GPT-5.2,612,18,wealthy,15.911
GPT-5.2,613,18,wealthy,9.828
GPT-5.2,614,22,wealthy,3.776
GPT-5.2,615,35,wealthy,21.634999999999998
GPT-5.2,616,20,wealthy,29.186
GPT-5.2,617,32,wealthy,9.466
GPT-5.2,618,15,wealthy,14.641
GPT-5.2,619,25,wealthy,7.654999999999999
GPT-5.2,620,40,wealthy,53.620000000000005
GPT-5.2,621,20,wealthy,10.876999999999999
GPT-5.2,622,25,wealthy,27.776
GPT-5.2,623,22,wealthy,8.655000000000001
GPT-5.2,624,22,wealthy,23.172
GPT-5.2,625,38,wealthy,15.532
GPT-5.2,626,22,wealthy,18.941
GPT-5.2,627,55,wealthy,17.884999999999998
GPT-5.2,628,22,wealthy,9.679
GPT-5.2,629,20,wealthy,52.466
GPT-5.2,630,25,wealthy,16.695999999999998
GPT-5.2,631,20,wealthy,15.209999999999999
GPT-5.2,632,46,wealthy,7.287
GPT-5.2,633,38,wealthy,23.975
